Smooth Loops,Parallelisim Type,Matrix Size,Nodes,MPI Tasks,Thread Pool,Accuracy,Time,CRC64,Parity,Speedup,Efficiency,SOPS,GSOPS/sec,Karp-Flatt,Overhead,Isoefficiency
2036,0,1024,1,1,1,0.0001,32.380494,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.0000,1.0000,2.13E+09,0.07,n/a,0.00,1.000
2036,1,1024,1,1,1,0.0001,32.398676,06a8ad906dc8a3bb,cff0d5f929dc08e7,0.9994,0.9994,2.13E+09,0.07,n/a,0.02,0.999
2036,1,1024,1,2,1,0.0001,17.262379,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.8758,0.9379,2.13E+09,0.12,0.0662,2.14,0.890
2036,1,1024,1,3,1,0.0001,11.664676,06a8ad906dc8a3bb,cff0d5f929dc08e7,2.7759,0.9253,2.13E+09,0.18,0.0404,2.61,0.817
2036,1,1024,1,4,1,0.0001,8.92318,06a8ad906dc8a3bb,cff0d5f929dc08e7,3.6288,0.9072,2.13E+09,0.24,0.0341,3.31,0.729
2036,1,1024,1,5,1,0.0001,7.132353,06a8ad906dc8a3bb,cff0d5f929dc08e7,4.5399,0.9080,2.13E+09,0.30,0.0253,3.28,0.685
2036,1,1024,1,6,1,0.0001,5.958767,06a8ad906dc8a3bb,cff0d5f929dc08e7,5.4341,0.9057,2.13E+09,0.36,0.0208,3.37,0.639
2036,1,1024,1,7,1,0.0001,5.162744,06a8ad906dc8a3bb,cff0d5f929dc08e7,6.2720,0.8960,2.13E+09,0.41,0.0193,3.76,0.579
2036,1,1024,1,8,1,0.0001,4.542535,06a8ad906dc8a3bb,cff0d5f929dc08e7,7.1283,0.8910,2.13E+09,0.47,0.0175,3.96,0.534
2036,1,1024,1,9,1,0.0001,4.042593,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.0098,0.8900,2.13E+09,0.53,0.0155,4.00,0.502
2036,1,1024,1,10,1,0.0001,3.657178,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.8540,0.8854,2.13E+09,0.58,0.0144,4.19,0.466
2036,1,1024,1,11,1,0.0001,3.319452,06a8ad906dc8a3bb,cff0d5f929dc08e7,9.7548,0.8868,2.13E+09,0.64,0.0128,4.13,0.445
2036,1,1024,1,12,1,0.0001,3.086888,06a8ad906dc8a3bb,cff0d5f929dc08e7,10.4897,0.8741,2.13E+09,0.69,0.0131,4.66,0.398
2036,1,1024,1,13,1,0.0001,2.834289,06a8ad906dc8a3bb,cff0d5f929dc08e7,11.4246,0.8788,2.13E+09,0.75,0.0115,4.47,0.388
2036,1,1024,1,14,1,0.0001,2.823588,06a8ad906dc8a3bb,cff0d5f929dc08e7,11.4679,0.8191,2.13E+09,0.75,0.0170,7.15,0.283
2036,1,1024,1,15,1,0.0001,2.634952,06a8ad906dc8a3bb,cff0d5f929dc08e7,12.2888,0.8193,2.13E+09,0.81,0.0158,7.14,0.269
2036,1,1024,1,16,1,0.0001,2.32775,06a8ad906dc8a3bb,cff0d5f929dc08e7,13.9106,0.8694,2.13E+09,0.91,0.0100,4.86,0.324
2036,1,1024,2,1,1,0.0001,32.414565,06a8ad906dc8a3bb,cff0d5f929dc08e7,0.9989,0.9989,2.13E+09,0.07,n/a,0.03,0.999
2036,1,1024,2,2,1,0.0001,17.255604,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.8765,0.9383,2.13E+09,0.12,0.0658,2.13,0.890
2036,1,1024,2,3,1,0.0001,11.667732,06a8ad906dc8a3bb,cff0d5f929dc08e7,2.7752,0.9251,2.13E+09,0.18,0.0405,2.62,0.816
2036,1,1024,2,4,1,0.0001,8.925084,06a8ad906dc8a3bb,cff0d5f929dc08e7,3.6280,0.9070,2.13E+09,0.24,0.0342,3.32,0.729
2036,1,1024,2,5,1,0.0001,7.133348,06a8ad906dc8a3bb,cff0d5f929dc08e7,4.5393,0.9079,2.13E+09,0.30,0.0254,3.29,0.685
2036,1,1024,2,6,1,0.0001,5.956089,06a8ad906dc8a3bb,cff0d5f929dc08e7,5.4365,0.9061,2.13E+09,0.36,0.0207,3.36,0.640
2036,1,1024,2,7,1,0.0001,5.159835,06a8ad906dc8a3bb,cff0d5f929dc08e7,6.2755,0.8965,2.13E+09,0.41,0.0192,3.74,0.580
2036,1,1024,2,8,1,0.0001,4.543019,06a8ad906dc8a3bb,cff0d5f929dc08e7,7.1275,0.8909,2.13E+09,0.47,0.0175,3.96,0.534
2036,1,1024,2,9,1,0.0001,4.041837,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.0113,0.8901,2.13E+09,0.53,0.0154,4.00,0.503
2036,1,1024,2,10,1,0.0001,3.659572,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.8482,0.8848,2.13E+09,0.58,0.0145,4.22,0.465
2036,1,1024,2,11,1,0.0001,3.337103,06a8ad906dc8a3bb,cff0d5f929dc08e7,9.7032,0.8821,2.13E+09,0.64,0.0134,4.33,0.435
2036,1,1024,2,12,1,0.0001,3.23591,06a8ad906dc8a3bb,cff0d5f929dc08e7,10.0066,0.8339,2.13E+09,0.66,0.0181,6.45,0.334
2036,1,1024,2,13,1,0.0001,2.872573,06a8ad906dc8a3bb,cff0d5f929dc08e7,11.2723,0.8671,2.13E+09,0.74,0.0128,4.96,0.367
2036,1,1024,2,14,1,0.0001,3.038267,06a8ad906dc8a3bb,cff0d5f929dc08e7,10.6576,0.7613,2.13E+09,0.70,0.0241,10.16,0.230
2036,1,1024,2,15,1,0.0001,2.494536,06a8ad906dc8a3bb,cff0d5f929dc08e7,12.9806,0.8654,2.13E+09,0.85,0.0111,5.04,0.331
2036,1,1024,2,16,1,0.0001,2.36381,06a8ad906dc8a3bb,cff0d5f929dc08e7,13.6984,0.8562,2.13E+09,0.90,0.0112,5.44,0.303
2036,1,1024,2,17,1,0.0001,2.247254,06a8ad906dc8a3bb,cff0d5f929dc08e7,14.4089,0.8476,2.13E+09,0.95,0.0112,5.82,0.278
2036,1,1024,2,18,1,0.0001,2.152091,06a8ad906dc8a3bb,cff0d5f929dc08e7,15.0461,0.8359,2.13E+09,0.99,0.0115,6.36,0.253
2036,1,1024,2,19,1,0.0001,1.982969,06a8ad906dc8a3bb,cff0d5f929dc08e7,16.3293,0.8594,2.13E+09,1.07,0.0091,5.30,0.272
2036,1,1024,2,20,1,0.0001,1.921519,06a8ad906dc8a3bb,cff0d5f929dc08e7,16.8515,0.8426,2.13E+09,1.11,0.0098,6.05,0.241
2036,1,1024,2,21,1,0.0001,1.80966,06a8ad906dc8a3bb,cff0d5f929dc08e7,17.8931,0.8521,2.13E+09,1.18,0.0087,5.62,0.243
2036,1,1024,2,22,1,0.0001,1.797731,06a8ad906dc8a3bb,cff0d5f929dc08e7,18.0119,0.8187,2.13E+09,1.18,0.0105,7.17,0.200
2036,1,1024,2,23,1,0.0001,1.704712,06a8ad906dc8a3bb,cff0d5f929dc08e7,18.9947,0.8259,2.13E+09,1.25,0.0096,6.83,0.200
2036,1,1024,2,24,1,0.0001,1.662732,06a8ad906dc8a3bb,cff0d5f929dc08e7,19.4743,0.8114,2.13E+09,1.28,0.0101,7.53,0.181
2036,1,1024,2,25,1,0.0001,1.533178,06a8ad906dc8a3bb,cff0d5f929dc08e7,21.1199,0.8448,2.13E+09,1.39,0.0077,5.95,0.205
2036,1,1024,2,26,1,0.0001,1.546167,06a8ad906dc8a3bb,cff0d5f929dc08e7,20.9424,0.8055,2.13E+09,1.38,0.0097,7.82,0.165
2036,1,1024,2,27,1,0.0001,1.428486,06a8ad906dc8a3bb,cff0d5f929dc08e7,22.6677,0.8395,2.13E+09,1.49,0.0074,6.19,0.188
2036,1,1024,2,28,1,0.0001,1.385589,06a8ad906dc8a3bb,cff0d5f929dc08e7,23.3695,0.8346,2.13E+09,1.53,0.0073,6.42,0.178
2036,1,1024,2,29,1,0.0001,1.378704,06a8ad906dc8a3bb,cff0d5f929dc08e7,23.4862,0.8099,2.13E+09,1.54,0.0084,7.60,0.154
2036,1,1024,2,30,1,0.0001,1.309648,06a8ad906dc8a3bb,cff0d5f929dc08e7,24.7246,0.8242,2.13E+09,1.62,0.0074,6.91,0.159
2036,1,1024,2,31,1,0.0001,1.28124,06a8ad906dc8a3bb,cff0d5f929dc08e7,25.2728,0.8153,2.13E+09,1.66,0.0076,7.34,0.149
2036,1,1024,2,32,1,0.0001,1.240287,06a8ad906dc8a3bb,cff0d5f929dc08e7,26.1073,0.8159,2.13E+09,1.71,0.0073,7.31,0.145
2036,0,1024,3,1,1,0.0001,32.381938,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.0000,1.0000,2.13E+09,0.07,n/a,0.00,1.000
2036,1,1024,3,1,1,0.0001,32.40934,06a8ad906dc8a3bb,cff0d5f929dc08e7,0.9991,0.9991,2.13E+09,0.07,n/a,0.03,0.999
2036,1,1024,3,2,1,0.0001,17.257678,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.8763,0.9381,2.13E+09,0.12,0.0659,2.13,0.890
2036,1,1024,3,3,1,0.0001,11.663006,06a8ad906dc8a3bb,cff0d5f929dc08e7,2.7763,0.9254,2.13E+09,0.18,0.0403,2.61,0.817
2036,1,1024,3,4,1,0.0001,8.925371,06a8ad906dc8a3bb,cff0d5f929dc08e7,3.6279,0.9070,2.13E+09,0.24,0.0342,3.32,0.729
2036,1,1024,3,5,1,0.0001,7.136499,06a8ad906dc8a3bb,cff0d5f929dc08e7,4.5373,0.9075,2.13E+09,0.30,0.0255,3.30,0.684
2036,1,1024,3,6,1,0.0001,5.960176,06a8ad906dc8a3bb,cff0d5f929dc08e7,5.4328,0.9055,2.13E+09,0.36,0.0209,3.38,0.638
2036,1,1024,3,7,1,0.0001,5.16546,06a8ad906dc8a3bb,cff0d5f929dc08e7,6.2687,0.8955,2.13E+09,0.41,0.0194,3.78,0.578
2036,1,1024,3,8,1,0.0001,4.544104,06a8ad906dc8a3bb,cff0d5f929dc08e7,7.1258,0.8907,2.13E+09,0.47,0.0175,3.97,0.534
2036,1,1024,3,9,1,0.0001,4.047366,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.0004,0.8889,2.13E+09,0.53,0.0156,4.05,0.500
2036,1,1024,3,10,1,0.0001,3.680444,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.7980,0.8798,2.13E+09,0.58,0.0152,4.42,0.454
2036,1,1024,3,11,1,0.0001,3.323229,06a8ad906dc8a3bb,cff0d5f929dc08e7,9.7437,0.8858,2.13E+09,0.64,0.0129,4.18,0.443
2036,1,1024,3,12,1,0.0001,3.079533,06a8ad906dc8a3bb,cff0d5f929dc08e7,10.5147,0.8762,2.13E+09,0.69,0.0128,4.57,0.402
2036,1,1024,3,13,1,0.0001,2.83383,06a8ad906dc8a3bb,cff0d5f929dc08e7,11.4264,0.8790,2.13E+09,0.75,0.0115,4.46,0.389
2036,1,1024,3,14,1,0.0001,2.690695,06a8ad906dc8a3bb,cff0d5f929dc08e7,12.0342,0.8596,2.13E+09,0.79,0.0126,5.29,0.337
2036,1,1024,3,15,1,0.0001,2.47856,06a8ad906dc8a3bb,cff0d5f929dc08e7,13.0642,0.8709,2.13E+09,0.86,0.0106,4.80,0.341
2036,1,1024,3,16,1,0.0001,2.326281,06a8ad906dc8a3bb,cff0d5f929dc08e7,13.9194,0.8700,2.13E+09,0.91,0.0100,4.84,0.325
2036,1,1024,3,17,1,0.0001,2.284824,06a8ad906dc8a3bb,cff0d5f929dc08e7,14.1720,0.8336,2.13E+09,0.93,0.0125,6.46,0.261
2036,1,1024,3,18,1,0.0001,2.100664,06a8ad906dc8a3bb,cff0d5f929dc08e7,15.4144,0.8564,2.13E+09,1.01,0.0099,5.43,0.279
2036,1,1024,3,19,1,0.0001,2.047476,06a8ad906dc8a3bb,cff0d5f929dc08e7,15.8148,0.8324,2.13E+09,1.04,0.0112,6.52,0.239
2036,1,1024,3,20,1,0.0001,1.897857,06a8ad906dc8a3bb,cff0d5f929dc08e7,17.0616,0.8531,2.13E+09,1.12,0.0091,5.58,0.254
2036,1,1024,3,21,1,0.0001,1.804488,06a8ad906dc8a3bb,cff0d5f929dc08e7,17.9444,0.8545,2.13E+09,1.18,0.0085,5.51,0.247
2036,1,1024,3,22,1,0.0001,1.730796,06a8ad906dc8a3bb,cff0d5f929dc08e7,18.7084,0.8504,2.13E+09,1.23,0.0084,5.70,0.233
2036,1,1024,3,23,1,0.0001,1.676075,06a8ad906dc8a3bb,cff0d5f929dc08e7,19.3192,0.8400,2.13E+09,1.27,0.0087,6.17,0.214
2036,1,1024,3,24,1,0.0001,1.65492,06a8ad906dc8a3bb,cff0d5f929dc08e7,19.5662,0.8153,2.13E+09,1.28,0.0099,7.34,0.184
2036,1,1024,3,25,1,0.0001,1.5406,06a8ad906dc8a3bb,cff0d5f929dc08e7,21.0181,0.8407,2.13E+09,1.38,0.0079,6.13,0.201
2036,1,1024,3,26,1,0.0001,1.485439,06a8ad906dc8a3bb,cff0d5f929dc08e7,21.7986,0.8384,2.13E+09,1.43,0.0077,6.24,0.192
2036,1,1024,3,27,1,0.0001,1.448847,06a8ad906dc8a3bb,cff0d5f929dc08e7,22.3491,0.8277,2.13E+09,1.47,0.0080,6.74,0.177
2036,1,1024,3,28,1,0.0001,1.43986,06a8ad906dc8a3bb,cff0d5f929dc08e7,22.4886,0.8032,2.13E+09,1.48,0.0091,7.94,0.154
2036,1,1024,3,29,1,0.0001,1.350706,06a8ad906dc8a3bb,cff0d5f929dc08e7,23.9730,0.8267,2.13E+09,1.57,0.0075,6.79,0.166
2036,1,1024,3,30,1,0.0001,1.309922,06a8ad906dc8a3bb,cff0d5f929dc08e7,24.7194,0.8240,2.13E+09,1.62,0.0074,6.92,0.159
2036,1,1024,3,31,1,0.0001,1.308006,06a8ad906dc8a3bb,cff0d5f929dc08e7,24.7556,0.7986,2.13E+09,1.63,0.0084,8.17,0.138
2036,1,1024,3,32,1,0.0001,1.259695,06a8ad906dc8a3bb,cff0d5f929dc08e7,25.7050,0.8033,2.13E+09,1.69,0.0079,7.93,0.137
2036,1,1024,3,33,1,0.0001,1.198014,06a8ad906dc8a3bb,cff0d5f929dc08e7,27.0285,0.8190,2.13E+09,1.78,0.0069,7.15,0.143
2036,1,1024,3,34,1,0.0001,1.205123,06a8ad906dc8a3bb,cff0d5f929dc08e7,26.8690,0.7903,2.13E+09,1.76,0.0080,8.59,0.123
2036,1,1024,3,35,1,0.0001,1.184179,06a8ad906dc8a3bb,cff0d5f929dc08e7,27.3443,0.7813,2.13E+09,1.80,0.0082,9.07,0.116
2036,1,1024,3,36,1,0.0001,1.167845,06a8ad906dc8a3bb,cff0d5f929dc08e7,27.7267,0.7702,2.13E+09,1.82,0.0085,9.66,0.108
2036,1,1024,3,37,1,0.0001,1.084349,06a8ad906dc8a3bb,cff0d5f929dc08e7,29.8617,0.8071,2.13E+09,1.96,0.0066,7.74,0.123
2036,1,1024,3,38,1,0.0001,1.078545,06a8ad906dc8a3bb,cff0d5f929dc08e7,30.0224,0.7901,2.13E+09,1.97,0.0072,8.60,0.111
2036,1,1024,3,39,1,0.0001,1.04833,06a8ad906dc8a3bb,cff0d5f929dc08e7,30.8877,0.7920,2.13E+09,2.03,0.0069,8.50,0.110
2036,1,1024,3,40,1,0.0001,1.015998,06a8ad906dc8a3bb,cff0d5f929dc08e7,31.8706,0.7968,2.13E+09,2.09,0.0065,8.26,0.110
2036,1,1024,3,41,1,0.0001,1.005341,06a8ad906dc8a3bb,cff0d5f929dc08e7,32.2085,0.7856,2.13E+09,2.12,0.0068,8.84,0.102
2036,1,1024,3,42,1,0.0001,1.037907,06a8ad906dc8a3bb,cff0d5f929dc08e7,31.1979,0.7428,2.13E+09,2.05,0.0084,11.21,0.085
2036,1,1024,3,43,1,0.0001,0.965378,06a8ad906dc8a3bb,cff0d5f929dc08e7,33.5418,0.7800,2.13E+09,2.20,0.0067,9.13,0.096
2036,1,1024,3,44,1,0.0001,1.080001,06a8ad906dc8a3bb,cff0d5f929dc08e7,29.9819,0.6814,2.13E+09,1.97,0.0109,15.14,0.067
2036,1,1024,3,45,1,0.0001,0.942793,06a8ad906dc8a3bb,cff0d5f929dc08e7,34.3453,0.7632,2.13E+09,2.26,0.0071,10.05,0.086
2036,1,1024,3,46,1,0.0001,0.94493,06a8ad906dc8a3bb,cff0d5f929dc08e7,34.2676,0.7449,2.13E+09,2.25,0.0076,11.09,0.079
2036,1,1024,3,47,1,0.0001,0.914369,06a8ad906dc8a3bb,cff0d5f929dc08e7,35.4129,0.7535,2.13E+09,2.33,0.0071,10.59,0.079
2036,1,1024,3,48,1,0.0001,0.969913,06a8ad906dc8a3bb,cff0d5f929dc08e7,33.3849,0.6955,2.13E+09,2.19,0.0093,14.18,0.064
2036,0,1024,4,1,1,0.0001,32.388545,06a8ad906dc8a3bb,cff0d5f929dc08e7,0.9998,0.9998,2.13E+09,0.07,n/a,0.01,1.000
2036,1,1024,4,1,1,0.0001,32.426887,06a8ad906dc8a3bb,cff0d5f929dc08e7,0.9986,0.9986,2.13E+09,0.07,n/a,0.05,0.999
2036,1,1024,4,2,1,0.0001,17.279871,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.8739,0.9369,2.13E+09,0.12,0.0673,2.18,0.888
2036,1,1024,4,3,1,0.0001,11.670628,06a8ad906dc8a3bb,cff0d5f929dc08e7,2.7745,0.9248,2.13E+09,0.18,0.0406,2.63,0.816
2036,1,1024,4,4,1,0.0001,8.918607,06a8ad906dc8a3bb,cff0d5f929dc08e7,3.6307,0.9077,2.13E+09,0.24,0.0339,3.29,0.730
2036,1,1024,4,5,1,0.0001,7.129688,06a8ad906dc8a3bb,cff0d5f929dc08e7,4.5416,0.9083,2.13E+09,0.30,0.0252,3.27,0.686
2036,1,1024,4,6,1,0.0001,5.953761,06a8ad906dc8a3bb,cff0d5f929dc08e7,5.4387,0.9064,2.13E+09,0.36,0.0206,3.34,0.640
2036,1,1024,4,7,1,0.0001,5.161694,06a8ad906dc8a3bb,cff0d5f929dc08e7,6.2732,0.8962,2.13E+09,0.41,0.0193,3.75,0.579
2036,1,1024,4,8,1,0.0001,4.542315,06a8ad906dc8a3bb,cff0d5f929dc08e7,7.1286,0.8911,2.13E+09,0.47,0.0175,3.96,0.534
2036,1,1024,4,9,1,0.0001,4.042891,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.0092,0.8899,2.13E+09,0.53,0.0155,4.01,0.502
2036,1,1024,4,10,1,0.0001,3.735857,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.6675,0.8667,2.13E+09,0.57,0.0171,4.98,0.429
2036,1,1024,4,11,1,0.0001,3.32621,06a8ad906dc8a3bb,cff0d5f929dc08e7,9.7350,0.8850,2.13E+09,0.64,0.0130,4.21,0.441
2036,1,1024,4,12,1,0.0001,3.532868,06a8ad906dc8a3bb,cff0d5f929dc08e7,9.1655,0.7638,2.13E+09,0.60,0.0281,10.01,0.261
2036,1,1024,4,13,1,0.0001,2.838249,06a8ad906dc8a3bb,cff0d5f929dc08e7,11.4086,0.8776,2.13E+09,0.75,0.0116,4.52,0.386
2036,1,1024,4,14,1,0.0001,2.756596,06a8ad906dc8a3bb,cff0d5f929dc08e7,11.7466,0.8390,2.13E+09,0.77,0.0148,6.21,0.307
2036,1,1024,4,15,1,0.0001,2.565587,06a8ad906dc8a3bb,cff0d5f929dc08e7,12.6211,0.8414,2.13E+09,0.83,0.0135,6.10,0.296
2036,1,1024,4,16,1,0.0001,2.401901,06a8ad906dc8a3bb,cff0d5f929dc08e7,13.4812,0.8426,2.13E+09,0.89,0.0125,6.05,0.284
2036,1,1024,4,17,1,0.0001,2.2104,06a8ad906dc8a3bb,cff0d5f929dc08e7,14.6492,0.8617,2.13E+09,0.96,0.0100,5.20,0.298
2036,1,1024,4,18,1,0.0001,2.089752,06a8ad906dc8a3bb,cff0d5f929dc08e7,15.4949,0.8608,2.13E+09,1.02,0.0095,5.24,0.285
2036,1,1024,4,19,1,0.0001,2.021849,06a8ad906dc8a3bb,cff0d5f929dc08e7,16.0153,0.8429,2.13E+09,1.05,0.0104,6.03,0.251
2036,1,1024,4,20,1,0.0001,1.911273,06a8ad906dc8a3bb,cff0d5f929dc08e7,16.9418,0.8471,2.13E+09,1.11,0.0095,5.84,0.246
2036,1,1024,4,21,1,0.0001,1.820017,06a8ad906dc8a3bb,cff0d5f929dc08e7,17.7913,0.8472,2.13E+09,1.17,0.0090,5.84,0.238
2036,1,1024,4,22,1,0.0001,1.800851,06a8ad906dc8a3bb,cff0d5f929dc08e7,17.9807,0.8173,2.13E+09,1.18,0.0106,7.24,0.199
2036,1,1024,4,23,1,0.0001,1.660262,06a8ad906dc8a3bb,cff0d5f929dc08e7,19.5032,0.8480,2.13E+09,1.28,0.0081,5.81,0.222
2036,1,1024,4,24,1,0.0001,1.666962,06a8ad906dc8a3bb,cff0d5f929dc08e7,19.4249,0.8094,2.13E+09,1.28,0.0102,7.63,0.179
2036,1,1024,4,25,1,0.0001,1.572678,06a8ad906dc8a3bb,cff0d5f929dc08e7,20.5894,0.8236,2.13E+09,1.35,0.0089,6.94,0.185
2036,1,1024,4,26,1,0.0001,1.485609,06a8ad906dc8a3bb,cff0d5f929dc08e7,21.7961,0.8383,2.13E+09,1.43,0.0077,6.25,0.192
2036,1,1024,4,27,1,0.0001,1.437148,06a8ad906dc8a3bb,cff0d5f929dc08e7,22.5311,0.8345,2.13E+09,1.48,0.0076,6.42,0.183
2036,1,1024,4,28,1,0.0001,1.388025,06a8ad906dc8a3bb,cff0d5f929dc08e7,23.3285,0.8332,2.13E+09,1.53,0.0074,6.48,0.176
2036,1,1024,4,29,1,0.0001,1.347312,06a8ad906dc8a3bb,cff0d5f929dc08e7,24.0334,0.8287,2.13E+09,1.58,0.0074,6.69,0.168
2036,1,1024,4,30,1,0.0001,1.331663,06a8ad906dc8a3bb,cff0d5f929dc08e7,24.3158,0.8105,2.13E+09,1.60,0.0081,7.57,0.150
2036,1,1024,4,31,1,0.0001,1.29156,06a8ad906dc8a3bb,cff0d5f929dc08e7,25.0708,0.8087,2.13E+09,1.65,0.0079,7.66,0.144
2036,1,1024,4,32,1,0.0001,1.425057,06a8ad906dc8a3bb,cff0d5f929dc08e7,22.7222,0.7101,2.13E+09,1.49,0.0132,13.22,0.097
2036,1,1024,4,33,1,0.0001,1.236201,06a8ad906dc8a3bb,cff0d5f929dc08e7,26.1936,0.7937,2.13E+09,1.72,0.0081,8.41,0.128
2036,1,1024,4,34,1,0.0001,1.175649,06a8ad906dc8a3bb,cff0d5f929dc08e7,27.5427,0.8101,2.13E+09,1.81,0.0071,7.59,0.134
2036,1,1024,4,35,1,0.0001,1.152763,06a8ad906dc8a3bb,cff0d5f929dc08e7,28.0895,0.8026,2.13E+09,1.84,0.0072,7.97,0.126
2036,1,1024,4,36,1,0.0001,1.109649,06a8ad906dc8a3bb,cff0d5f929dc08e7,29.1808,0.8106,2.13E+09,1.92,0.0067,7.57,0.128
2036,1,1024,4,37,1,0.0001,1.275548,06a8ad906dc8a3bb,cff0d5f929dc08e7,25.3856,0.6861,2.13E+09,1.67,0.0127,14.81,0.079
2036,1,1024,4,38,1,0.0001,1.090956,06a8ad906dc8a3bb,cff0d5f929dc08e7,29.6808,0.7811,2.13E+09,1.95,0.0076,9.08,0.107
2036,1,1024,4,39,1,0.0001,1.043561,06a8ad906dc8a3bb,cff0d5f929dc08e7,31.0288,0.7956,2.13E+09,2.04,0.0068,8.32,0.111
2036,1,1024,4,40,1,0.0001,1.045273,06a8ad906dc8a3bb,cff0d5f929dc08e7,30.9780,0.7745,2.13E+09,2.03,0.0075,9.43,0.100
2036,1,1024,4,41,1,0.0001,0.99163,06a8ad906dc8a3bb,cff0d5f929dc08e7,32.6538,0.7964,2.13E+09,2.14,0.0064,8.28,0.107
2036,1,1024,4,42,1,0.0001,1.035936,06a8ad906dc8a3bb,cff0d5f929dc08e7,31.2572,0.7442,2.13E+09,2.05,0.0084,11.13,0.085
2036,1,1024,4,43,1,0.0001,1.044717,06a8ad906dc8a3bb,cff0d5f929dc08e7,30.9945,0.7208,2.13E+09,2.04,0.0092,12.54,0.077
2036,1,1024,4,44,1,0.0001,0.948924,06a8ad906dc8a3bb,cff0d5f929dc08e7,34.1234,0.7755,2.13E+09,2.24,0.0067,9.37,0.092
2036,1,1024,4,45,1,0.0001,0.939893,06a8ad906dc8a3bb,cff0d5f929dc08e7,34.4513,0.7656,2.13E+09,2.26,0.0070,9.91,0.087
2036,1,1024,4,46,1,0.0001,0.949289,06a8ad906dc8a3bb,cff0d5f929dc08e7,34.1103,0.7415,2.13E+09,2.24,0.0077,11.29,0.078
2036,1,1024,4,47,1,0.0001,0.903994,06a8ad906dc8a3bb,cff0d5f929dc08e7,35.8194,0.7621,2.13E+09,2.35,0.0068,10.11,0.082
2036,1,1024,4,48,1,0.0001,0.872062,06a8ad906dc8a3bb,cff0d5f929dc08e7,37.1310,0.7736,2.13E+09,2.44,0.0062,9.48,0.084
